Fecha;Tipo_de_festivo
29/03/2018;Ceuta
29/03/2018;Extremadura
29/03/2018;Galicia
29/03/2018;Madrid
29/03/2018;Melilla
29/03/2018;Navarra
29/03/2018;Valencia
29/03/2018;La Rioja
29/03/2018;Cataluña
29/03/2018;País Vasco
29/03/2018;Murcia
30/03/2018;Festivos nacionales
02/04/2018;Cataluña
02/04/2018;Andalucia
02/04/2018;Festivos nacionales
02/04/2018;Aragón
02/04/2018;Asturias
02/04/2018;Baleares
02/04/2018;Canarias
02/04/2018;Cantabria
02/04/2018;Castilla y León
02/04/2018;Castilla La Mancha
02/04/2018;Ceuta
02/04/2018;Extremadura
02/04/2018;Galicia
02/04/2018;Madrid
02/04/2018;Melilla
02/04/2018;Navarra
02/04/2018;Valencia
02/04/2018;La Rioja
02/04/2018;País Vasco
02/04/2018;Murcia
23/04/2018;Andalucia
23/04/2018;Festivos nacionales
23/04/2018;Aragón
23/04/2018;Asturias
23/04/2018;Baleares
23/04/2018;Canarias
23/04/2018;Cantabria
23/04/2018;Castilla y León
23/04/2018;Castilla La Mancha
23/04/2018;Ceuta
23/04/2018;Extremadura
23/04/2018;Galicia
23/04/2018;Madrid
23/04/2018;Melilla
23/04/2018;Navarra
23/04/2018;Valencia
23/04/2018;La Rioja
23/04/2018;Cataluña
23/04/2018;País Vasco
23/04/2018;Murcia
01/05/2018;Festivos nacionales
02/05/2018;Andalucia
02/05/2018;Festivos nacionales
02/05/2018;Aragón
02/05/2018;Asturias
02/05/2018;Baleares
02/05/2018;Canarias
02/05/2018;Cantabria
02/05/2018;Castilla y León
02/05/2018;Castilla La Mancha
