,Real,Pred
855,33.95,40.917908
856,33.6,45.09987
857,35.09,52.40644
858,41.54,54.60782
859,42.98,53.26746
860,37.65,49.801888
861,31.049999999999997,45.63835
862,28.659999999999997,41.32438
863,26.4,36.327545
864,18.049999999999997,27.100441
865,14.0,23.698956
866,1.95000000000001,20.679016
867,0.20000000000000284,18.167076
868,0.1599999999999966,16.79108
869,0.1599999999999966,16.34476
870,0.20000000000000284,16.63095
871,1.95000000000001,17.6544
872,9.0,19.73368
873,16.68,23.342403
874,20.0,27.118832
875,16.68,29.841854
876,14.049999999999997,30.977116
877,15.090000000000003,30.307354
878,15.0,28.353199
879,5.539999999999999,26.16439
880,5.539999999999999,25.431263
881,14.049999999999997,27.846539
882,21.79,37.026657
883,25.4,46.686913
884,27.0,50.277893
885,25.4,49.169853
886,20.0,45.314655
887,14.049999999999997,41.175777
888,1.95000000000001,15.1931305
889,1.95000000000001,11.881573
890,1.95000000000001,9.676777
891,1.3400000000000034,8.450932
892,1.2899999999999991,8.033577
893,1.95000000000001,8.773266
894,1.95000000000001,11.589039
895,8.04,19.185734
896,20.590000000000003,31.46664
897,21.43,40.83113
898,11.509999999999998,46.9799
899,6.999999999999993,51.08303
900,5.829999999999998,53.322342
901,3.500000000000007,54.503613
902,1.95000000000001,54.86957
903,1.95000000000001,55.301155
904,1.95000000000001,55.932156
905,5.020000000000003,56.99449
906,8.079999999999998,57.893642
907,22.480000000000004,58.42747
908,25.260000000000005,58.658077
909,22.480000000000004,57.663853
910,12.490000000000002,55.08893
911,7.18,52.257214
912,1.95000000000001,4.3705864
913,1.95000000000001,2.7461815
914,1.5,1.6669731
915,1.1000000000000014,0.9933777
916,1.5600000000000023,1.0106735
917,1.95000000000001,1.7592087
918,1.95000000000001,3.5746765
919,7.6000000000000085,5.3267403
920,12.340000000000003,6.649147
921,12.670000000000002,8.1604805
922,10.439999999999998,8.878254
923,9.480000000000004,8.615284
924,7.980000000000011,8.058533
925,8.340000000000003,7.7510643
926,6.229999999999997,7.1967735
927,6.950000000000003,6.933445
928,6.999999999999993,7.3722305
929,8.000000000000007,9.006584
930,10.5,11.094276
931,14.0,12.534439
932,15.11,12.685799
933,12.659999999999997,10.810997
934,7.280000000000008,8.153721
935,1.9600000000000009,5.2415047
936,8.000000000000007,3.2646332
937,1.95000000000001,2.7667694
938,1.95000000000001,2.4516144
939,1.95000000000001,2.3910255
940,1.95000000000001,2.9051476
941,1.95000000000001,4.013401
942,1.95000000000001,5.6572075
943,14.0,6.691761
944,27.04,7.316929
945,25.39,8.048748
946,26.0,8.056301
947,22.189999999999998,7.628124
948,17.39,7.185978
949,20.0,6.9557343
950,14.399999999999999,6.590126
951,14.399999999999999,6.488514
952,24.0,6.769066
953,30.879999999999995,7.7422333
954,58.6,9.116356
955,80.0,10.171932
956,73.26,10.808647
957,64.19,10.261997
958,60.29,9.036362
959,38.5,7.3686676
960,49.0,21.902
961,24.299999999999997,20.735012
962,14.0,19.544044
963,9.43,18.65903
964,3.8400000000000034,18.601112
965,12.240000000000002,19.44514
966,35.23,21.01289
967,57.3,22.796436
968,60.21,24.049091
969,60.94,24.83323
970,60.13,24.618385
971,57.3,23.900677
972,55.0,22.934772
973,55.0,22.358292
974,51.0,21.510975
975,53.73,21.03075
976,55.27,21.381271
977,59.94,22.78471
978,61.48,24.364231
979,72.4,25.520023
980,71.8,26.195091
981,62.27,25.411144
982,58.78,23.358948
983,51.52,21.310837
984,32.12,44.086174
985,24.0,39.089542
986,15.990000000000002,34.730274
987,10.25,32.86
988,10.25,33.799416
989,15.990000000000002,37.997
990,26.58,43.312225
991,51.52,46.33861
992,55.0,47.4905
993,55.75,47.71647
994,53.0,46.429848
995,47.73,44.58465
996,38.69,41.8935
997,32.12,38.71796
998,26.299999999999997,35.84413
999,14.0,34.541252
1000,16.200000000000003,36.621544
1001,31.620000000000005,42.347992
1002,51.69,45.919907
1003,57.69,47.28505
1004,61.01,47.42426
1005,59.31,46.611168
1006,54.56,44.95555
1007,45.09,41.225647
1008,27.989999999999995,20.38641
1009,21.560000000000002,14.095615
1010,13.950000000000003,11.580372
1011,11.350000000000001,10.893654
1012,10.0,11.220741
1013,13.299999999999997,13.655102
1014,15.990000000000002,23.803833
1015,23.0,41.82493
1016,33.5,55.446556
1017,40.69,59.82031
1018,45.0,55.472183
1019,42.51,45.278206
1020,39.44,33.879906
1021,40.69,26.774124
1022,39.69,21.56482
1023,34.5,20.479939
1024,35.5,25.85316
1025,46.02,43.25132
1026,56.87,59.626644
1027,69.0,65.42544
1028,63.26,66.08865
1029,57.67,62.478275
1030,53.58,51.485435
1031,50.55,35.15642
1032,32.0,33.44653
1033,25.29,27.34927
1034,18.689999999999998,22.385353
1035,14.0,17.404026
1036,12.990000000000002,14.647484
1037,12.590000000000003,14.453659
1038,12.590000000000003,16.85725
1039,12.700000000000003,22.173035
1040,11.350000000000001,30.958336
1041,12.590000000000003,39.39003
1042,12.700000000000003,41.658897
1043,10.840000000000003,39.830597
1044,5.25,35.770428
1045,8.000000000000007,32.188465
