,Predicciones,Reales
2021-01-16 04:00:00,53.62109999999998,52.0
2021-01-16 05:00:00,53.79949999999997,52.0
2021-01-16 06:00:00,56.80023333333333,53.56
2021-01-16 07:00:00,63.98886666666674,54.3
2021-01-16 08:00:00,72.70966666666672,61.96
2021-01-16 09:00:00,80.9568666666667,66.69
2021-01-16 10:00:00,83.1814666666667,70.09
2021-01-16 11:00:00,84.0006666666667,69.05
2021-01-16 12:00:00,82.46000000000001,68.05
2021-01-16 13:00:00,82.65106666666667,66.69
2021-01-16 14:00:00,82.28253333333332,67.54
2021-01-16 15:00:00,79.9354666666667,65.5
2021-01-16 16:00:00,81.31686666666667,66.69
2021-01-16 17:00:00,84.93680000000003,70.09
2021-01-16 18:00:00,89.49320000000004,83.94
2021-01-16 19:00:00,94.08866666666675,88.82
2021-01-16 20:00:00,96.20886666666675,93.79
2021-01-16 21:00:00,94.10446666666675,89.03
2021-01-16 22:00:00,85.48406666666675,83.67
2021-01-16 23:00:00,84.99333333333338,70.24
2021-01-17 00:00:00,69.1522,66.05
2021-01-17 01:00:00,61.62973333333333,60.0
2021-01-17 02:00:00,59.700133333333326,55.25
2021-01-17 03:00:00,56.859733333333374,55.0
2021-01-17 04:00:00,54.52760000000003,54.99
2021-01-17 05:00:00,54.5384666666667,54.99
2021-01-17 06:00:00,57.930066666666725,54.99
2021-01-17 07:00:00,60.50006666666668,55.25
2021-01-17 08:00:00,61.82780000000001,55.68
2021-01-17 09:00:00,62.32933333333333,59.69
2021-01-17 10:00:00,62.35553333333335,61.17
2021-01-17 11:00:00,64.39666666666669,62.4
2021-01-17 12:00:00,64.56280000000002,63.45
2021-01-17 13:00:00,66.27480000000003,61.75
2021-01-17 14:00:00,66.63593333333338,61.69
2021-01-17 15:00:00,62.740399999999994,55.18
2021-01-17 16:00:00,62.87433333333334,60.6
2021-01-17 17:00:00,69.2237666666667,67.05
2021-01-17 18:00:00,76.4649,72.0
2021-01-17 19:00:00,81.64213333333335,82.01
2021-01-17 20:00:00,85.59333333333338,86.6
2021-01-17 21:00:00,88.50880000000006,87.84
2021-01-17 22:00:00,81.83853333333339,83.67
2021-01-17 23:00:00,76.07520000000001,70.97
2021-01-18 00:00:00,68.56396666666667,81.28
2021-01-18 01:00:00,65.64980000000004,79.53
2021-01-18 02:00:00,61.5146666666667,72.05
2021-01-18 03:00:00,59.645866666666684,70.5
2021-01-18 04:00:00,60.90673333333336,70.0
2021-01-18 05:00:00,62.94606666666669,74.69
2021-01-18 06:00:00,66.3079,77.84
2021-01-18 07:00:00,70.89403333333333,80.22
2021-01-18 08:00:00,72.5305333333333,83.59
2021-01-18 09:00:00,76.60219999999997,85.66
2021-01-18 10:00:00,76.56473333333328,83.05
2021-01-18 11:00:00,76.65719999999999,77.84
2021-01-18 12:00:00,76.10836666666665,77.69
2021-01-18 13:00:00,75.73349999999998,76.59
2021-01-18 14:00:00,75.41269999999999,73.22
2021-01-18 15:00:00,71.97256666666664,72.05
2021-01-18 16:00:00,75.50963333333328,75.84
2021-01-18 17:00:00,75.43259999999995,82.89
2021-01-18 18:00:00,94.8531333333334,92.81
2021-01-18 19:00:00,99.19793333333341,110.9
2021-01-18 20:00:00,98.67813333333345,115.98
2021-01-18 21:00:00,98.69226666666678,99.01
2021-01-18 22:00:00,94.4607333333334,83.39
2021-01-18 23:00:00,80.43553333333338,73.21
2021-01-19 00:00:00,79.1847,84.05
2021-01-19 01:00:00,75.58436666666665,70.79
2021-01-19 02:00:00,72.93319999999997,63.05
2021-01-19 03:00:00,68.2464333333333,59.5
2021-01-19 04:00:00,68.10036666666663,58.22
2021-01-19 05:00:00,67.87106666666664,59.35
2021-01-19 06:00:00,74.9413333333333,61.8
2021-01-19 07:00:00,81.19919999999998,74.39
2021-01-19 08:00:00,95.92993333333334,91.2
2021-01-19 09:00:00,97.68066666666672,93.72
2021-01-19 10:00:00,97.33253333333342,91.79
2021-01-19 11:00:00,93.16760000000004,86.48
2021-01-19 12:00:00,90.84333333333332,84.0
2021-01-19 13:00:00,89.27953333333333,80.0
2021-01-19 14:00:00,87.52713333333331,74.29
2021-01-19 15:00:00,84.68683333333333,70.9
2021-01-19 16:00:00,87.78803333333333,73.35
2021-01-19 17:00:00,90.61446666666671,78.49
2021-01-19 18:00:00,95.78120000000007,84.69
2021-01-19 19:00:00,106.42626666666665,91.2
2021-01-19 20:00:00,108.44473333333326,91.97
2021-01-19 21:00:00,96.99826666666671,84.69
2021-01-19 22:00:00,89.80073333333331,69.05
2021-01-19 23:00:00,72.76680000000002,58.2
2021-01-20 00:00:00,63.06586666666667,50.15
2021-01-20 01:00:00,59.39380000000001,44.7
2021-01-20 02:00:00,54.748000000000005,40.25
2021-01-20 03:00:00,53.179466666666684,38.49
2021-01-20 04:00:00,51.63773333333332,29.67
2021-01-20 05:00:00,53.417066666666656,36.65
2021-01-20 06:00:00,55.60886666666666,44.97
2021-01-20 07:00:00,60.46633333333334,56.12
2021-01-20 08:00:00,78.05833333333337,60.69
2021-01-20 09:00:00,81.01546666666668,64.05
2021-01-20 10:00:00,79.99340000000001,63.83
2021-01-20 11:00:00,78.12099999999997,59.64
2021-01-20 12:00:00,76.96519999999998,55.01
2021-01-20 13:00:00,75.31606666666659,51.6
2021-01-20 14:00:00,73.06913333333328,49.86
2021-01-20 15:00:00,71.25946666666663,44.95
2021-01-20 16:00:00,69.99833333333332,48.03
2021-01-20 17:00:00,72.23286666666664,54.01
2021-01-20 18:00:00,77.57026666666664,58.2
2021-01-20 19:00:00,84.03680000000001,64.69
2021-01-20 20:00:00,85.23553333333335,67.9
2021-01-20 21:00:00,80.53533333333333,62.69
2021-01-20 22:00:00,73.43086666666667,51.05
2021-01-20 23:00:00,61.247299999999996,42.7
