,Real,Pred,MAE,MAPE
2021-08-16 00:00:00,87.5,95.494125,7.9941253662109375,9.136143275669644
2021-08-16 01:00:00,84.70000000000002,90.58353,5.883526611328108,6.946312410068603
2021-08-16 02:00:00,83.49,87.717545,4.227544555664068,5.063534022833953
2021-08-16 03:00:00,82.49,86.28824,3.79823852539063,4.60448360454677
2021-08-16 04:00:00,82.09,86.1357,4.045696411132809,4.928366927923997
2021-08-16 05:00:00,82.49,87.27025,4.780248413085943,5.794942918033632
2021-08-16 06:00:00,84.6,90.6947,6.094702148437506,7.204139655363482
2021-08-16 07:00:00,85.0,90.03189,5.031890869140625,5.919871610753677
2021-08-16 08:00:00,86.0,89.01828,3.018280029296875,3.5096279410428783
2021-08-16 09:00:00,84.9,87.75539,2.855386352539057,3.363234808644354
2021-08-16 10:00:00,84.4,86.996,2.5960021972656193,3.075831987281539
2021-08-16 11:00:00,84.6,86.06372,1.4637207031250057,1.730166315750598
2021-08-16 12:00:00,84.98999999999998,85.48601,0.4960076904297068,0.5836071189901246
2021-08-16 13:00:00,89.14,87.15192,1.9880834960937506,2.2302933543793477
2021-08-16 14:00:00,89.99,87.26894,2.721056213378901,3.0237317628390947
2021-08-16 15:00:00,86.41,84.01759,2.392406616210934,2.768668691367821
2021-08-16 16:00:00,85.0,83.217316,1.782684326171875,2.097275677849265
2021-08-16 17:00:00,84.98999999999998,82.41591,2.574091186523418,3.028698889896951
2021-08-16 18:00:00,85.35999999999999,82.81172,2.5482781982421727,2.985330597753249
2021-08-16 19:00:00,96.8,85.48895,11.311047363281247,11.684966284381455
2021-08-16 20:00:00,107.02,94.582214,12.437785644531246,11.621926410513218
2021-08-16 21:00:00,120.0,100.14019,19.85980987548828,16.5498415629069
2021-08-16 22:00:00,112.03,99.19355,12.83644989013672,11.458046853643417
2021-08-16 23:00:00,94.0,94.38274,0.3827362060546875,0.40716617665392285
2021-08-17 00:00:00,90.23999999999998,92.24744,2.0074365234375193,2.224552885014982
2021-08-17 01:00:00,84.9,85.32707,0.4270721435546818,0.5030296154943248
2021-08-17 02:00:00,84.4,83.27817,1.1218322753906307,1.3291851604154392
2021-08-17 03:00:00,84.1,82.769745,1.3302551269531193,1.5817540154020444
2021-08-17 04:00:00,83.99000000000001,82.26558,1.7244207763671966,2.053126296424808
2021-08-17 05:00:00,84.4,82.48422,1.9157775878906307,2.269878658638188
2021-08-17 06:00:00,90.1,83.968864,6.131135559082026,6.804811941267509
2021-08-17 07:00:00,102.99,85.30967,17.68033050537109,17.167036125226808
2021-08-17 08:00:00,113.01,86.60345,26.406553039550786,23.36656317100326
2021-08-17 09:00:00,114.9,85.33195,29.56805267333985,25.733727304908484
2021-08-17 10:00:00,100.0,84.168045,15.831954956054688,15.831954956054686
2021-08-17 11:00:00,101.07,84.563286,16.506714172363274,16.33196217706864
